2026-06-24 15:19:01,803 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 61","parameters":{"retry_after":61}}
2026-06-24 15:19:01,915 | INFO | Attempting to open SELL trade: volume=0.9 lots, risk target=1.0% of $1000.00, stop_distance=1.5095%
2026-06-24 15:19:01,915 | INFO | ✅ TRADE OPENED: SELL position_id=437 volume=0.9 entry≈735.99
2026-06-24 15:19:02,480 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 61","parameters":{"retry_after":61}}
2026-06-24 15:19:02,537 | INFO | Position 437: breakeven reached after 2 favorable candles -- stop moved to entry price 735.99, Stage 3 trailing active.
2026-06-24 15:19:02,544 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=437 (total trades completed: 437)
2026-06-24 15:19:02,951 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 60","parameters":{"retry_after":60}}
2026-06-24 15:19:03,141 | INFO | Attempting to open SELL trade: volume=1.191 lots, risk target=1.0% of $1000.00, stop_distance=1.1327%
2026-06-24 15:19:03,141 | INFO | ✅ TRADE OPENED: SELL position_id=438 volume=1.191 entry≈740.70
2026-06-24 15:19:03,574 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 60","parameters":{"retry_after":60}}
2026-06-24 15:19:03,591 | INFO | Position 438: breakeven reached after 2 favorable candles -- stop moved to entry price 740.70, Stage 3 trailing active.
2026-06-24 15:19:03,608 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=438 (total trades completed: 438)
2026-06-24 15:19:04,152 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 59","parameters":{"retry_after":59}}
2026-06-24 15:19:04,171 | INFO | Attempting to open SELL trade: volume=1.42 lots, risk target=1.0% of $1000.00, stop_distance=0.9492%
2026-06-24 15:19:04,171 | INFO | ✅ TRADE OPENED: SELL position_id=439 volume=1.42 entry≈741.67
2026-06-24 15:19:04,729 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 59","parameters":{"retry_after":59}}
2026-06-24 15:19:04,757 | INFO | Position 439: breakeven reached after 2 favorable candles -- stop moved to entry price 741.67, Stage 3 trailing active.
2026-06-24 15:19:04,775 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=439 (total trades completed: 439)
